관리번호,사업장명,인허가일자,소재지도로명주소,소재지지번주소,소재지우편번호,위도,경도,통합영업상태명,영업상태명,소재지시설전화번호,소재지면적정보,X좌표값,Y좌표값,영업장주변구분명,급수시설구분명,다중이용업소여부,시설총규모정보,카테고리
3770000-101-2017-00240,#먹빵,20171103,"경기도 수원시 팔달구 권광로180번길 41, 1층 (인계동)",경기도 수원시 팔달구 인계동 1121-10 1층,16488.0,37.2632009359,127.035100947,영업/정상,영업,,51.20,203044.75159938,417921.396499716,,상수도전용,N,51.2,치킨
3760000-101-1999-00060,(미정)시골집,19990610,경기도 수원시 권선구 구운로14번길 25 (구운동),경기도 수원시 권선구 구운동 500-4,16409.0,37.277998653,126.9760716208,영업/정상,영업,031-295-5677,72.07,197804.651568517,419559.592066036,기타,상수도전용,N,72.07,한식
3770000-101-1981-00022,(신)대원옥,19810825,경기도 수원시 팔달구 정조로800번길 6-3 (팔달로1가),경기도 수원시 팔달구 팔달로1가 64-1,16257.0,37.2793458162,127.0173141967,영업/정상,영업,031-255-7493,147.32,201458.826440199,419713.079304219,기타,상수도전용,N,147.32,한식
3760000-101-2008-00054,(원조)명동찌개마을,20080327,"경기도 수원시 권선구 평동로79번길 45, 수원SK V1 motors 145호 (평동)",경기도 수원시 권선구 평동 179,16600.0,37.2598990401,126.9927070619,영업/정상,영업,031-292-8768,88.00,199286.684574214,417546.171737448,,상수도전용,N,88.0,한식
3760000-101-2019-00351,(유)서수원살살녹소,20191213,"경기도 수원시 권선구 금호로 146, 2층 (탑동)",경기도 수원시 권선구 탑동 161,16403.0,37.2730952521,126.9660218945,영업/정상,영업,,240.00,196919.37290259,419032.618764202,,상수도전용,Y,240.0,기타
5610000-101-2002-00972,(유)아웃백스테이크하우스코리아 광교점,20020608,"경기도 수원시 영통구 광교중앙로 140, 수원컨벤션센터 1층 (하동)",경기도 수원시 영통구 하동 855-2 수원컨벤션센터,16514.0,37.2858741001,127.0594869532,영업/정상,영업,031-267-0911,479.10,205209.429761926,420428.365922969,유흥업소밀집지역,상수도전용,N,479.1,양식
3750000-101-2024-00032,(유)아웃백스테이크하우스코리아 수원스타필드점,20240117,"경기도 수원시 장안구 수성로 175, 7층 7127호 (정자동)",경기도 수원시 장안구 정자동 111-14,16318.0,37.2874406644,126.9915632992,영업/정상,영업,,683.31,199161.380909543,420620.351156652,,상수도전용,Y,683.31,양식
3770000-101-2014-00302,(유)아웃백스테이크하우스코리아 수원역사점,20141203,"경기도 수원시 팔달구 덕영대로 924, 6층 (매산로1가, 수원애경역사)",경기도 수원시 팔달구 매산로1가 18 수원애경역사 6층,16622.0,37.2656360259,127.000033255,영업/정상,영업,02-2054-8365,768.06,199920.194662903,418246.927112644,,상수도전용,Y,768.06,양식
3760000-101-2024-00162,(유)아웃백스테이크하우스코리아 수원타임빌라스점,20240523,"경기도 수원시 권선구 세화로 134, 1층 일부호 (서둔동)",경기도 수원시 권선구 서둔동 381 롯데몰 수원점,16621.0,37.2641013965,126.9973705173,영업/정상,영업,,616.30,199673.378589066,418025.547756245,,,N,616.3,양식
5610000-101-2008-00169,(유)아웃백스테이크하우스코리아 영통2점,20081107,"경기도 수원시 영통구 봉영로 1613, 지1층 (영통동, 남광하우스토리 지09-10호)",경기도 수원시 영통구 영통동 958-3 남광하우스스토리 지하1층,16703.0,37.2551172915,127.0739311025,영업/정상,영업,,63.76,206487.708504445,417023.368667667,,,N,63.76,양식
