restaurant_id,name,address,phone,latitude,longitude,category,description,avg_rating,business_hours
1,길목에 뭉티기,"경기도 수원시 영통구 청명남로50번길 5-4, 1층 (영통동)",,37.2537589976,127.0772314836,한식,,0.0,
2,길목통닭,"경기도 수원시 팔달구 매산로 10-10, 1층 (매산로1가)",,37.266666398,127.0028347574,한식,,0.0,
3,길상 뉴루면,"경기도 수원시 팔달구 정조로 772, 2층 (팔달로3가)",,37.2768834699,127.0169351232,중식,,0.0,
4,길상중국가정식,"경기도 수원시 영통구 청명로 19 (영통동,(103호))",0507-461-6100,37.2495405158,127.0797808442,치킨,,0.0,
5,길성양다리구이,경기도 수원시 팔달구 덕영대로943번길 20 (매산로1가),031-258-2224,37.2653230275,127.0027646417,치킨,,0.0,
6,길성호프,"경기도 수원시 팔달구 덕영대로 929-6, 2층 (매산로1가)",,37.2657787903,127.0018255511,치킨,,0.0,
7,길손식당,"경기도 수원시 권선구 세권로 61, 1층 (세류동)",031-239-1787,37.2590931228,127.0111169259,한식,,0.0,
8,길자네돼지갈비뒷고기,"경기도 수원시 팔달구 향교로 149-1, 1층 (교동)",,37.2740921094,127.0154527879,한식,,0.0,
9,김c 부엌,경기도 수원시 영통구 인계로 263 (매탄동),,37.2640650201,127.0463961922,한식,,0.0,
10,김가네 망포역사거리점,"경기도 수원시 영통구 영통로217번길 6, 망포역 센타프라자 1층 104호 (영통동)",,37.2469594101,127.0566804797,분식,,0.0,
11,김가네 수원시청역점,"경기도 수원시 팔달구 효원로 288, 대원콤비프라자 1층 101호 일부호 (인계동)",,37.2608582133,127.033040283,한식,,0.0,
12,김가네 호매실금곡점,"경기도 수원시 권선구 금곡로 112, 이수프라자 1층 106-2호 (금곡동)",,37.2739337984,126.9426111491,분식,,0.0,
13,김가네맛집,경기도 수원시 장안구 수성로245번길 94 (정자동),031-245-1694,37.2927682272,126.9979809029,한식,,0.0,
14,김가네부뚜막찌개(조원점),"경기도 수원시 장안구 송정로187번길 37, 103호 (조원동)",031-247-6186,37.300051152,127.01520732,한식,,0.0,
15,김가네삼겹살김치찌개두루치기,"경기도 수원시 권선구 곡반정로19번길 68-32 (곡반정동,(70블럭1롯트))",031-234-1517,37.2344251175,127.0274538384,한식,,0.0,
